"course_id","course_name","competency","category","level","delivery_mode","duration_hours","duration_weeks","max_participants","resource_types","prerequisites","certification_offered","start_date","end_date","status","num_qualified_trainers","primary_trainer_id","num_recommended_trainees","total_enrolled","completion_rate_percent","average_course_rating","average_assessment_pass_rate_percent","description","qualified_trainers"
"C103","Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Beginner","Online","16","2","30","System.Object[]","System.Object[]","True","2026-07-20","2026-08-03","completed","5","TRN20260213","6","6","83.4","4.5","98.4","Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1000","Doppler Radar Operations for Decision Makers","Doppler radar operations","Doppler Radar Operations","Intermediate","Offline","20","2","30","System.Object[]","System.Object[]","True","2027-01-02","2027-01-16","upcoming","5","TRN20260213","4","28","65.5","4","70.5","Doppler Radar Operations for Decision Makers equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1001","Intermediate Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Advanced","Hybrid","32","4","30","System.Object[]","System.Object[]","True","2026-11-12","2026-12-10","upcoming","5","TRN20260213","5","27","68.5","4.3","75.4","Intermediate Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1002","Doppler Radar Operations Refresher Course","Doppler radar operations","Doppler Radar Operations","Beginner","Online","16","2","25","System.Object[]","System.Object[]","False","2026-06-12","2026-06-26","completed","5","TRN20260213","6","7","87.5","4.7","66","Doppler Radar Operations Refresher Course equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1003","Doppler Radar Operations Data Handling and Quality Control","Doppler radar operations","Doppler Radar Operations","Intermediate","Offline","24","3","20","System.Object[]","System.Object[]","True","2026-08-04","2026-08-25","completed","5","TRN20260213","5","15","59.8","3.9","77.7","Doppler Radar Operations Data Handling and Quality Control equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1004","Specialized Doppler Radar Operations Training","Doppler radar operations","Doppler Radar Operations","Advanced","Hybrid","24","3","20","System.Object[]","System.Object[]","False","2026-09-24","2026-10-15","upcoming","5","TRN20260213","4","5","80.8","4","64.4","Specialized Doppler Radar Operations Training equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1005","Doppler Radar Operations: Case Studies from Indian Meteorology","Doppler radar operations","Doppler Radar Operations","Beginner","Online","12","2","20","System.Object[]","System.Object[]","True","2026-12-24","2027-01-07","upcoming","5","TRN20260213","6","13","77.7","4.2","97.6","Doppler Radar Operations: Case Studies from Indian Meteorology equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1006","Introduction to Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Beginner","Offline","32","4","30","System.Object[]","System.Object[]","True","2026-03-26","2026-04-23","completed","5","TRN20260213","3","15","55.9","4.1","82.9","Introduction to Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1007","Master Class: Doppler Radar Operations","Doppler radar operations","Doppler Radar Operations","Advanced","Hybrid","32","4","20","System.Object[]","System.Object[]","False","2027-01-09","2027-02-06","upcoming","5","TRN20260213","3","20","64.2","3.4","96.5","Master Class: Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
"C1008","Advanced Doppler Radar Operations Techniques","Doppler radar operations","Doppler Radar Operations","Advanced","Online","12","2","40","System.Object[]","System.Object[]","True","2026-07-28","2026-08-11","completed","5","TRN20260213","5","8","72.3","3.8","93.6","Advanced Doppler Radar Operations Techniques equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.","System.Object[]"
